id,price,date,ram,hdd,reviews_30,reviews_all,Action,Adventure,RPG,Strategy,Simulation,Casual,Puzzle,Sports,Racing,Horror
1,9.99,973026000.0,96,0.0,0.95,0.96,1,0,0,0,0,0,0,0,0,0
2,19.99,1602622800.0,4096,1200.0,0.85,0.93,1,0,0,1,1,0,0,0,0,0
3,19.99,1613422800.0,8192,16384.0,0.8,0.89,1,0,0,0,0,0,0,0,0,0
4,19.99,1567717200.0,4096,12288.0,0.0,0.55,0,0,0,0,1,0,0,1,0,0
5,4.99,1574802000.0,4096,12288.0,0.0,0.66,0,0,0,0,1,0,0,1,0,0
6,4.99,1574802000.0,4096,12288.0,0.0,0.87,0,0,0,0,1,0,0,1,0,0
7,4.99,1574802000.0,0,0.0,0.0,0.73,0,0,0,0,1,0,0,1,0,0
8,14.99,1552942800.0,4096,4650.0,0.0,0.88,0,0,0,1,0,0,0,0,0,0
9,17.99,1705611600.0,4096,6144.0,0.71,0.81,0,0,0,0,1,0,0,0,0,0
10,19.99,1750885200.0,4096,6144.0,0.92,0.88,1,1,0,0,0,0,0,0,0,0
11,14.99,1580331600.0,4096,2048.0,0.0,0.85,0,1,0,1,1,0,0,0,0,0
12,8.99,1552856400.0,4096,6144.0,0.0,0.7,0,0,0,0,1,0,0,0,0,0
13,0.0,1555534800.0,1024,400.0,0.0,0.9,0,1,1,1,0,0,0,0,0,0
14,39.99,1629147600.0,4096,5120.0,0.91,0.94,0,0,0,0,0,1,0,0,0,0
15,3.99,1573678800.0,8192,30720.0,0.78,0.8,0,1,0,0,0,0,0,0,0,0
16,11.51,1575320400.0,4096,3072.0,0.0,0.78,1,1,0,0,1,1,0,0,0,0
17,49.99,1759179600.0,8192,15360.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0
18,29.99,1599512400.0,6144,19456.0,0.83,0.74,0,0,0,0,1,0,0,1,1,0
19,12.99,1582491600.0,4096,400.0,0.0,0.97,1,0,0,0,0,0,0,0,0,0
20,29.99,1571173200.0,4096,3072.0,0.0,0.95,0,0,0,1,0,1,0,0,0,0
21,16.99,1548190800.0,8192,40.0,0.0,0.59,0,0,0,0,0,0,0,0,0,0
22,59.99,1562792400.0,8192,30720.0,0.88,0.95,1,0,0,0,0,0,0,0,0,0
23,19.99,1226955600.0,512,8192.0,0.94,0.92,1,0,0,0,0,0,0,0,0,0
24,104.99,1594242000.0,8192,46080.0,0.0,0.68,1,1,1,0,0,0,0,0,0,0
25,1.99,1616619600.0,6144,6144.0,0.63,0.79,0,0,0,0,1,1,0,0,0,0
26,4.99,1554152400.0,8192,25600.0,0.0,0.79,1,0,0,0,0,0,0,0,0,0
27,7.99,1473541200.0,4096,300.0,0.92,0.88,0,0,0,0,0,0,0,0,0,0
28,9.99,1557349200.0,1024,1024.0,0.98,0.95,1,0,0,0,0,0,0,0,0,0
29,3.99,1550869200.0,4,600.0,0.0,0.96,1,1,1,0,0,0,0,0,0,0
30,3.99,1577394000.0,4096,600.0,0.0,0.92,1,1,1,0,0,0,0,0,0,0
31,7.99,1580331600.0,4096,16384.0,0.0,0.88,0,0,0,0,1,0,0,0,0,0
32,7.49,1562792400.0,4096,2048.0,0.0,0.81,0,0,0,1,0,0,0,0,0,0
33,0.0,1549486800.0,1024,150.0,0.0,0.9,0,0,1,1,0,0,0,0,0,0
34,24.99,1744578000.0,12288,12288.0,0.33,0.66,0,0,0,1,1,0,0,0,0,0
35,14.99,1617224400.0,4096,4096.0,0.68,0.8,1,1,0,0,1,1,0,0,1,0
36,24.99,1560373200.0,4096,4096.0,0.0,0.86,0,0,1,0,0,0,0,0,0,0
37,14.99,1563397200.0,4096,1024.0,0.72,0.91,0,0,1,0,0,0,0,0,0,0
38,39.99,1564606800.0,4096,40960.0,0.0,0.88,0,0,0,0,1,0,0,0,0,0
39,19.99,1671138000.0,6144,16384.0,0.86,0.9,1,0,0,0,0,0,0,0,0,0
40,29.99,1595192400.0,16384,15360.0,0.97,0.94,1,0,0,0,0,0,0,0,0,0
41,24.99,1571691600.0,4096,15360.0,0.0,0.77,0,1,0,0,0,0,0,0,0,0
42,9.99,1564002000.0,4096,5120.0,0.98,0.95,0,1,0,1,1,1,0,0,0,0
43,39.99,1710450000.0,8192,40960.0,0.51,0.77,1,0,0,0,0,0,0,0,0,0
44,0.0,1711918800.0,512,300.0,0.6,0.71,1,1,1,1,1,1,0,0,0,0
45,14.99,1550091600.0,6144,3072.0,0.0,0.82,0,1,0,0,1,0,0,0,0,0
46,6.99,1552424400.0,2048,500.0,0.0,0.86,1,0,1,0,0,0,0,0,0,0
47,11.99,1560200400.0,8192,25600.0,0.0,0.93,0,0,0,0,1,0,0,0,0,0
48,4.99,1548968400.0,0,0.0,0.0,0.92,0,0,0,1,1,0,0,0,0,0
49,19.99,1590526800.0,4096,2048.0,0.0,0.57,0,0,0,1,0,0,0,0,0,0
50,6.99,1556139600.0,4096,0.0,0.0,0.53,0,0,0,1,1,0,0,0,0,0
51,29.99,1627419600.0,8192,40960.0,0.86,0.83,1,1,1,0,1,0,0,0,0,0
52,19.99,1600808400.0,4096,2048.0,0.91,0.94,1,0,0,0,0,1,0,0,0,0
53,29.99,1677099600.0,6144,12288.0,0.48,0.47,0,0,0,1,0,0,0,1,0,0
54,6.99,1548018000.0,8192,3072.0,0.0,0.86,1,1,1,0,0,0,0,0,0,0
55,15.99,1569358800.0,4096,700.0,0.88,0.91,1,1,0,0,1,1,0,0,0,0
56,19.99,1566162000.0,4096,20480.0,0.83,0.82,0,0,0,1,0,0,0,0,0,0
57,19.99,1257973200.0,1024,12288.0,0.93,0.91,1,0,0,0,0,0,0,0,0,0
58,19.99,1557954000.0,4096,800.0,0.76,0.81,1,1,1,0,1,0,0,1,1,0
59,19.99,1560200400.0,4096,504.0,0.0,0.77,1,0,0,0,0,0,0,0,0,0
60,1.18,1566853200.0,8192,15360.0,0.0,0.9,0,0,0,0,1,0,0,1,1,0
61,14.99,1637614800.0,2,1024.0,0.93,0.94,1,0,0,0,1,1,0,0,0,0
62,14.99,1617310800.0,8192,15360.0,0.81,0.9,0,0,0,1,0,0,0,0,0,0
63,11.98,1559250000.0,4096,3072.0,0.92,0.98,0,1,0,0,0,1,0,0,0,0
64,19.99,1604523600.0,12288,8192.0,0.75,0.69,1,0,0,0,1,0,0,0,0,0
65,5.99,1550437200.0,3072,5120.0,0.0,0.78,0,0,0,0,1,0,0,1,1,0
66,5.99,1549227600.0,8192,10240.0,0.0,0.85,0,0,0,0,1,1,0,0,0,0
67,19.99,1549486800.0,4096,1024.0,0.71,0.82,1,1,1,0,0,1,0,0,0,0
68,59.99,1700082000.0,8192,31088.64,0.87,0.54,1,1,0,0,0,0,0,0,0,0
69,14.99,1634158800.0,6144,10240.0,0.0,0.79,0,0,0,0,1,0,0,0,0,0
70,4.99,1748811600.0,2048,12288.0,0.91,0.93,1,0,1,1,0,0,0,0,0,0
71,27.99,1564002000.0,0,0.0,0.0,0.69,1,0,0,1,1,0,0,0,0,0
72,0.0,1570482000.0,2048,4400.0,0.79,0.84,0,0,0,1,0,0,0,0,0,0
73,19.99,1548709200.0,8192,12288.0,0.94,0.88,1,1,1,0,0,0,0,0,0,0
74,19.99,1599685200.0,4096,500.0,0.93,0.79,0,0,1,0,1,0,0,0,0,0
75,7.17,1600981200.0,8192,10240.0,0.0,0.57,0,0,0,1,1,0,0,0,0,0
76,1.74,1597179600.0,8192,12288.0,0.0,0.83,1,1,0,0,0,0,0,0,0,0
77,39.99,1567630800.0,4096,2200.0,0.0,0.82,0,0,0,1,0,0,0,0,0,0
78,14.99,1575320400.0,256,1024.0,0.81,0.86,1,0,0,1,0,0,0,0,0,0
79,39.99,1638133200.0,4096,10240.0,0.63,0.84,0,1,0,0,0,1,0,0,0,0
80,9.99,1318280400.0,2048,5120.0,0.84,0.96,1,0,0,1,0,0,0,0,0,0
81,19.99,1567458000.0,2048,5120.0,0.83,0.73,0,1,1,0,0,0,0,0,0,0
82,69.99,1560200400.0,0,1.0,0.0,0.83,0,0,0,0,1,1,0,0,0,0
83,3.99,1551301200.0,4096,61440.0,0.0,0.76,0,1,0,0,1,0,0,1,0,0
84,24.99,1692219600.0,2048,5120.0,0.95,0.91,0,0,1,0,1,0,0,0,0,0
85,14.99,1560805200.0,8192,8192.0,0.0,0.5,0,0,0,1,1,0,0,0,0,0
86,19.99,1691528400.0,0,2000.0,0.95,0.91,1,0,0,0,0,0,0,0,0,0
87,25.96,1552338000.0,4096,4096.0,0.0,0.59,0,0,0,1,1,0,0,0,0,0
88,49.99,1653426000.0,8192,87040.0,0.82,0.83,1,1,0,0,0,0,0,0,0,0
89,24.99,1622494800.0,8192,1024.0,0.8,0.89,0,0,1,1,1,0,0,0,0,0
90,39.99,1602536400.0,4096,10240.0,0.43,0.51,1,1,1,0,0,0,0,0,0,0
91,19.99,1756933200.0,4096,8192.0,0.0,0.91,1,1,0,0,0,0,0,0,0,0
92,29.99,1589835600.0,6144,51200.0,0.76,0.74,1,1,0,0,0,0,0,0,0,0
93,39.99,1600894800.0,6144,51200.0,0.85,0.86,1,1,0,0,0,0,0,0,0,0
94,0.0,1553720400.0,1024,500.0,0.55,0.59,0,1,0,1,0,0,0,0,0,0
95,9.99,1561323600.0,8192,51200.0,0.0,0.59,0,0,0,1,0,0,0,0,0,0
96,24.99,1553634000.0,8192,11264.0,0.85,0.82,1,0,0,0,0,0,0,0,0,0
97,39.99,1562274000.0,8192,7168.0,0.0,0.92,0,1,0,0,0,0,0,0,0,0
98,24.99,1675285200.0,6144,12000.0,0.0,0.59,0,0,0,0,1,0,0,0,0,0
99,19.99,1565902800.0,4096,3072.0,1.0,0.98,1,0,0,0,1,1,0,0,0,0
100,7.99,1560805200.0,4096,3072.0,0.0,0.74,1,0,0,1,0,0,0,0,0,0
101,5.98,1630011600.0,4096,5120.0,0.0,0.87,1,1,0,0,0,0,0,0,0,0
102,19.99,1571086800.0,4096,6144.0,0.69,0.9,0,1,1,0,0,0,0,0,0,0
103,7.99,1563397200.0,512,1024.0,0.0,0.96,0,1,0,0,0,0,0,0,0,0
104,4.99,1567026000.0,4096,6144.0,0.0,0.92,0,0,0,0,1,0,0,0,0,0
105,4.99,1607374800.0,4096,2048.0,0.0,0.86,1,1,0,1,0,1,0,0,0,0
106,7.98,1648069200.0,1024,500.0,0.0,0.83,0,0,0,1,0,0,0,0,0,0
107,24.99,1695934800.0,16384,2048.0,0.52,0.73,0,0,0,1,1,0,0,0,0,0
108,9.99,1562619600.0,4096,5120.0,0.0,0.67,0,0,0,1,1,0,0,0,0,0
109,84.99,1756328400.0,8192,8192.0,0.69,0.84,0,0,0,0,0,0,0,0,0,0
110,4.99,1555966800.0,0,0.0,0.0,0.89,0,0,0,1,1,0,0,0,0,0
111,0.0,1554325200.0,2048,650.0,0.0,0.94,0,0,0,1,0,1,0,0,0,0
